Name,Description,Picture_URL,Price,Stagionatura,Expiring_Date,Code,Size,Category,Target_Customer
"Robber Gin","London Dry a 47% vol con 11 botaniche naturali e quasi tutte territoriali. Caratterizzante agrumata e speziata data dall'arancia e dal pepe di Timut.","https://images.unsplash.com/photo-1607622750671-6cd9a99eabd1?q=80&w=2574&auto=format&fit=crop",38.5,"","2026-12-31","GIN001","700ml","Spirits","Restaurants, Bars"
"Costata di Bufalo","Costata di bufalo italiano, taglio anatomico sottovuoto. Carne pregiata, sapida e tenera, più magra e con meno colesterolo rispetto alla carne bovina.","https://www.innaturale.com/wp-content/uploads/2018/04/qual-e-differenza-tra-costata-fiorentina-facebook.jpg",22.5,"","2024-12-15","MEAT001","1kg","Carne","Restaurants, Specialty Butchers"
"Il Tesoro","Pecorino con scorze di arancia candite. Un formaggio goloso e profumato in virtù dell'incontro tra il latte e l'arancia.","https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.DGixLxbFlfUSpBIBzNMYFwAAAA%26pid%3DApi&f=1&ipt=a53b6e9a814a3cec2463886029f89c8cb1a81203831a778e6b1e8e5a991d703f&ipo=images",24.9,"90 giorni","2025-06-30","FOR001","500g","Formaggi","Restaurants, Specialty Cheese Shops"
"Formaggio Pecorino Rustico","Formaggio a pasta semicotta, prodotto con latte intero di pecore allevate nei pascoli incontaminati della Sardegna.","https://images.unsplash.com/photo-1486297678162-eb2a19b0a32d?q=80&w=2573&auto=format&fit=crop",19.9,"120 giorni","2025-08-15","FOR002","1kg","Formaggi","Restaurants, Specialty Cheese Shops, Retail"
"Toma della Valsesia","Prodotta col latte del Parco Naturale Alta Valsesia, stagionata in grotta a oltre 1000 mslm. Ottima anche in cucina per piatti che prevedono la gratinatura.","https://images.unsplash.com/photo-1631379578550-7038263db699?q=80&w=2574&auto=format&fit=crop",21.5,"6 mesi","2025-10-01","FOR003","800g","Formaggi","Restaurants, Specialty Cheese Shops"
"Rosso di Sera","Mix di erbe di montagna secche, olio EVO, fiori e annatto. Le erbe e i fiori si fondono al palato quando incontrano la pasta tenera e cremificante all'interno.","https://images.unsplash.com/photo-1618164436241-4473940d1f5c?q=80&w=2570&auto=format&fit=crop",36.8,"45 giorni","2025-04-30","FOR004","400g","Formaggi","Restaurants, Specialty Cheese Shops"
"Fioroni Fior di Latte","Fior di latte artigianale prodotto dalla Latteria del Molise seguendo tecniche tradizionali con latte di alta qualità.","https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fmylemonland.com%2Fwp-content%2Fuploads%2F2020%2F04%2FFior-di-Latte-Agerola.jpg&f=1&nofb=1&ipt=8dec244bdaf44505a9ef9dff78a1b2e186b833f90d1737e3366b71ac3b23885d&ipo=images",12.9,"Fresco","2024-11-15","LAT001","250g","Latticini","Restaurants, Pizzerias, Retail"
"Caprino Nobile","Caprino fresco a latte crudo con breve stagionatura, dalla crosta fiorita edibile e sapore deciso. Vincitore di numerosi premi nazionali.","https://images.unsplash.com/photo-1559561853-08451507cbe7?q=80&w=2574&auto=format&fit=crop",28.9,"20 giorni","2024-12-10","FOR005","200g","Formaggi","Restaurants, Specialty Cheese Shops"
"Carnaroli Bianco","Autentico riso Carnaroli superfino prodotto nel Parco Naturale del Ticino. Adatto ai migliori risotti per le sue grandi doti gastronomiche.","https://images.unsplash.com/photo-1536304993881-ff6e9eefa2a6?q=80&w=2670&auto=format&fit=crop",7.5,"","2026-05-10","RIS001","1kg","Riso","Restaurants, Specialty Food Stores"
"Miele d'Abruzzo Acacia","Miele molto chiaro, dal sapore decisamente dolce con leggerissima acidità. Delicato, poco persistente e privo di retrogusto.","https://images.unsplash.com/photo-1587049352851-8d4e89133924?q=80&w=2574&auto=format&fit=crop",8.5,"","2026-08-01","MIE001","500g","Miele","Specialty Food Stores, Retail"
"Fior di Sale di Sicilia","Fior di Sale della Sicilia impreziosito da olio essenziale di arancia e bacche rosa. Ideale per insaporire crostacei, molluschi e carni bianche.","https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fwww.siciliafan.it%2Fwp-content%2Fuploads%2Fsites%2F3%2F2020%2F09%2FSale-marino-di-Trapani.jpg&f=1&nofb=1&ipt=f6de3a182cc0c43e703219d05ad1e4933f9e39f0a7a182c0f2389e89c9f993bb",9.9,"","2027-01-01","SAL001","100g","Sale","Restaurants, Specialty Food Stores"
"Prosciutto di Parma DOP","Prosciutto stagionato secondo la tradizione di Parma, dal sapore dolce e delicato. Solo cosce selezionate e sale marino.","https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F1%2F1d%2FCulatello%252C_trattoria_gigina%27s%252C_bologna_(4107678942).jpg%2F440px-Culatello%252C_trattoria_gigina%27s%252C_bologna_(4107678942).jpg&f=1&nofb=1&ipt=b66aa5ab011a1750f3829ee22a2a88265d13df5897dff51e2828eded582c6675&ipo=images",32.5,"24 mesi","2025-06-15","SAL001","1kg (intero)","Salumi","Restaurants, Specialty Food Stores, Catering"
"Parmigiano Reggiano DOP","Il re dei formaggi italiani, prodotto con latte crudo delle province di Parma, Reggio Emilia, Modena, Bologna e Mantova.","https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fsienanews.it%2Fwp-content%2Fuploads%2F2012%2F06%2FParmigiano-Reggiano.jpg&f=1&nofb=1&ipt=81732403e7885032fc0832723a91a890a43591234f1feb3a0d5f1c2ce9254f58&ipo=images",28.9,"36 mesi","2026-03-20","FOR006","1kg","Formaggi","Restaurants, Specialty Cheese Shops, Catering"
"Olio Extra Vergine Toscano","Olio di oliva extravergine toscano ottenuto da spremitura a freddo di olive raccolte a mano. Gusto fruttato intenso con note piccanti.","https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?q=80&w=2561&auto=format&fit=crop",18.5,"","2025-09-10","OLI001","500ml","Olio","Restaurants, Specialty Food Stores, Bakeries"
"Aceto Balsamico di Modena IGP","Aceto balsamico invecchiato in botti di legno pregiato secondo la tradizione modenese. Densità e profumo eccezionali.","https://images.unsplash.com/photo-1596333120839-9e312db23eea?q=80&w=2574&auto=format&fit=crop",29.9,"12 anni","2030-01-01","ACE001","250ml","Aceto","Restaurants, Specialty Food Stores, Catering"
